Номер,Название,Город,Адрес,Период,Иконка,Состояние
661710975430005,Жилой дом,Камышлов,"г. Камышлов, ул. Горького, д. 4",с 1900 до 1920,Домик,Хорошее
661710975450005,Здание железнодорожного вокзала,Камышлов,"г. Камышлов, ул.Красных Орлов, д.83а",с 1880 до 1900,Домик,Хорошее
661710975470005,"Дом, в котором в 1914-18 гг. жил П.П. Бажов",Камышлов,"г. Камышлов, ул. Карла Маркса, д. 11",с 1900 до 1920,Изба,Удовлетворительное
661710975480005,Жилой дом,Камышлов,"г. Камышлов, ул. Карла Маркса, д. 34",с 1850 до 1880,Домик,Хорошее
661710975510005,Жилой дом,Камышлов,"г. Камышлов, ул. Карла Маркса, д. 47а",с 1900 до 1920,Домик,Хорошее
661710975520005,Здание начального городского училища,Камышлов,"г. Камышлов, ул. Маяковского, д. 1",с 1900 до 1920,Дворец,Хорошее
661710975530005,Жилой дом,Камышлов,"г. Камышлов, ул. Карла Маркса, д. 51б",с 1900 до 1920,Домик,Не доступен
661710975540005,"Здание, где в 1918 г. размещался штаб Красной гвардии и был сформирован добровольческий отряд, ставший ядром коммунистического полка ""Красные Орлы""",Камышлов,"г. Камышлов, ул. Красных Орлов, д. 103",с 1900 до 1920,Домик,Хорошее
661710975560005,"Дом купца Терентьева. Здание, в котором в ноябре 1917-июле 1918 гг. размещался первый Совет рабочих, крестьянских и солдатских депутатов",Камышлов,"г. Камышлов, ул. Ленина, д. 15",с 1900 до 1920,Домик,Хорошее
661710975570005,Дом жилой,Камышлов,"г. Камышлов, ул. Пролетарская, д. 13",с 1850 до 1880,Домик,Хорошее
661710975580005,"Здание, где в 1919-23 гг. размещалась типография, в которой П.П. Бажов редактировал газету ""Красный путь""",Камышлов,"г. Камышлов, ул. Пролетарская, д. 31",с 1920 до 1940,Домик,Хорошее
661710975600005,"Здание школы № 58, где в 1932-37 гг. учился Герой Советского Союза С.М. Черепанов",Камышлов,"г. Камышлов, ул. Свердлова, д. 73",с 1920 до 1940,Домик,Хорошее
661710975620006,Мраморные солнечные часы,Полевской городской округ,"Полевской городской округ, с. Мраморское",до 1800,Домик,Не доступен
661710975630005,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Тургенева, д. 22",с 1900 до 1920,Домик,Удовлетворительное
661710975640005,Сберкасса,Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 31-в",с 1920 до 1940,Многоэтажка,Хорошее
661710975650005,"Дом, в котором в 1927 г. жил писатель Аркадий Гайдар (Голиков)",Екатеринбург,"г. Екатеринбург, набережная Рабочей молодежи, д. 23",с 1920 до 1940,Домик,Удовлетворительное
661710975660005,Институт медицинский,Екатеринбург,"г. Екатеринбург, ул. Репина, д. 3",с 1940 до 1960,Дворец,Удовлетворительное
661710975670005,Дворец культуры завода Уралэлектротяжмаш,Екатеринбург,"г. Екатеринбург, ул. Старых большевиков, д. 22",с 1940 до 1960,Завод,Удовлетворительное
661710975680005,Торговые ряды (Мытный двор),Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 8-д",с 1850 до 1880,Домик,Не доступен
661710975690005,Особняк Е.А. Семеновой,Екатеринбург,"г. Екатеринбург, ул. Карла Маркса, д. 22а",с 1940 до 1960,Изба,Хорошее
661710975700005,Здание Свердловской государственной филармонии (бывший Деловой клуб),Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 38а",с 1920 до 1940,Многоэтажка,Хорошее
661710975710005,Дом Калашникова А.Д.,Екатеринбург,"г. Екатеринбург, ул. Хохрякова, д. 5",с 1850 до 1880,Домик,Хорошее
661710975720005,Дом Рейнфельд Л.Ф.,Екатеринбург,"г. Екатеринбург, ул. Карла Маркса, д. 8",с 1850 до 1880,Домик,Удовлетворительное
661710975730005,Доходный дом купца Е.И. Первушина,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 28 / ул. Радищева, д. 2",с 1900 до 1920,Домик,Удовлетворительное
661710975740005,Дом жилой с элементами русского барокко в декоре,Екатеринбург,"г. Екатеринбург, ул. Гоголя, д. 7",с 1850 до 1880,Домик,Не доступен
661710975750006,Церковь Петра и Павла,Североуральск,"г. Североуральск, ул. Советская, д. 6",до 1800,Церковь,Хорошее
661710975760005,Церковь Ильи Пророка,Сухоложский район,"Сухоложский район, с. Знаменское",с 1800 до 1850,Церковь,Не доступен
661710975770015,Павильоны,Сухоложский район,"Сухоложский район, с. Новопышминское, ул. Ленина",с 1850 до 1880,Домик,Не доступен
661710975780005,"Здание, где работал профессор Санкт-Петербургского университета, основатель геологического музея Е.С. Федоров",Краснотурьинск,"г. Краснотурьинск, ул. Октябрьская, д. 45",с 1880 до 1900,Дворец,Удовлетворительное
661710976340015,Конюшня,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 127",с 1880 до 1900,Амбар,Руины
661710976340025,Дом жилой,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 127",с 1880 до 1900,Домик,Удовлетворительное
661710976340035,Хозяйственная постройка,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 127",с 1880 до 1900,Домик,Руины
661710976340045,Склад зерновой,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 127",с 1880 до 1900,Амбар,Плохое
661710976360015,Преображенская церковь,Каменск-Уральский,"г. Каменск-Уральский, ул. Кирова, д. 18",с 1850 до 1880,Церковь,Удовлетворительное
661710976360025,Корпус келий с трапезной,Каменск-Уральский,"г. Каменск-Уральский, ул. Кирова, д. 18, корпус 2",с 1900 до 1920,Домик,Удовлетворительное
661710976360035,Сторожка,Каменск-Уральский,"г. Каменск-Уральский, ул. Кирова, д. 18, корпус 1",с 1850 до 1880,Изба,Удовлетворительное
661710976370005,Магазин провиантский Каменского казенного чугунолитейного завода. Дом культуры,Каменск-Уральский,"г. Каменск-Уральский, пл. Соборная",с 1880 до 1900,Дворец,Плохое
661710976380015,Дом жилой,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 102",с 1900 до 1920,Домик,Удовлетворительное
661710976380025,Магазин,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 100, лит. А",с 1900 до 1920,Домик,Удовлетворительное
661710976380035,Постройка хозяйственная,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 100, лит. Б",с 1900 до 1920,Амбар,Удовлетворительное
661710976390015,Дом жилой,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 95",с 1850 до 1880,Домик,Хорошее
661710976390025,Корпус обувной фабрики,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 95",с 1850 до 1880,Домик,Хорошее
661710983680015,Корпус южный,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 118, 120",с 1850 до 1880,Домик,Удовлетворительное
661710983680025,Корпус северный,Каменск-Уральский,"г. Каменск-Уральский, ул. Революционная, д. 2",с 1880 до 1900,Домик,Удовлетворительное
661710983690015,Лавка,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 103",с 1880 до 1900,Домик,Удовлетворительное
661710983690025,Дом жилой,Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 101",с 1880 до 1900,Изба,Удовлетворительное
661710983700015,"Постройка хозяйственная. (Здание, в котором в 1917-1918 гг. находился штаб Красной Гвардии, здесь же была организована первая комсомольская оранизация в городе)",Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 119",с 1900 до 1920,Домик,Плохое
661710983700025,"Здание, в котором в 1917-1918 гг. находился штаб Красной Гвардии, здесь же была организована первая комсомольская организация в городе",Каменск-Уральский,"г. Каменск-Уральский, ул. Ленина, д. 119",с 1900 до 1920,Домик,Руины
661710983730005,Церковь Покрова Пресвятой Богородицы,Каменск-Уральский,"г. Каменск-Уральский, ул. Февральской революции (бывшая деревня Волкова)",с 1900 до 1920,Церковь,Хорошее
661710983740016,Плотина с облицованной подпорной стенкой,Сысерть,"г. Сысерть, ул. Быкова",с 1800 до 1850,Мост,Не доступен
661710983740026,Эстакада,Сысерть,"г. Сысерть, ул. Быкова",с 1800 до 1850,Домик,Не доступен
661710983740036,Водопроводное сооружение,Сысерть,"г. Сысерть, ул. Быкова",с 1800 до 1850,Домик,Не доступен
661710983740046,Плотина с прорезами (водосливами),Сысерть,"г. Сысерть, ул. Быкова",с 1800 до 1850,Мост,Не доступен
661710983740056,Литейный двор,Сысерть,"г. Сысерть, ул. Быкова",с 1800 до 1850,Домик,Не доступен
661710983740066,Корпус доменных печей,Сысерть,"г. Сысерть, ул. Быкова",с 1800 до 1850,Домик,Не доступен
661710983750005,Башня сторожевая на Лисьей горе,Нижний Тагил,"г. Нижний Тагил, на Лисьей (Лысой) горе",с 1850 до 1880,Башня,Хорошее
661710983760005,Дом жилой,Нижний Тагил,"г. Нижний Тагил, ул. Первомайская, д. 3",период не определен,Домик,Плохое
661710983770005,Особняк Носова,Невьянск,"г. Невьянск, ул. Кирова, д. 9",с 1880 до 1900,Домик,Хорошее
661710983780005,Здание бывшей староверческой церкви,Невьянск,"г. Невьянск, ул. Комсомольская, д. 37",с 1880 до 1900,Домик,Плохое
661710983790005,Купеческий дом,Невьянск,"г. Невьянск, ул. Профсоюзов, д. 1",с 1880 до 1900,Домик,Удовлетворительное
661710983800005,Купеческий особняк,Невьянск,"г. Невьянск, ул. Профсоюзов, д. 4",с 1880 до 1900,Домик,Хорошее
661710983810005,Особняк купца Дождева,Невьянск,"г. Невьянск, ул. Советская, д. 16",с 1850 до 1880,Домик,Хорошее
661710983820005,Жилой дом,Невьянск,"г. Невьянск, ул. Комсомольская, д. 21",с 1880 до 1900,Домик,Хорошее
661710983830005,Торговая лавка Пискунова,Невьянск,"г. Невьянск, ул. Володарского, д. 1",с 1850 до 1880,Домик,Удовлетворительное
661710983850005,Дом в стиле классицизма,Невьянск,"г. Невьянск, ул. Кирова, д. 27",с 1880 до 1900,Домик,Удовлетворительное
661710983860005,Жилой дом купца Богомолова,Невьянск,"г. Невьянск, ул. Кирова, д. 46",с 1880 до 1900,Домик,Плохое
661710983880005,"Здание, в котором в годы Великой Отечественной войны размещался госпиталь",Невьянск,"г. Невьянск, ул. Луначарского, д. 26",с 1940 до 1960,Домик,Хорошее
661710983890005,"Школа, в которой учился Герой Советского Союза В.В. Гомзин",Невьянск,"г. Невьянск, ул. Малышева, д. 52",период не определен,Домик,Плохое
661710983900005,"Здание, в котором находился Невьянский городской окружной комитет коммунистического союза молодежи",Невьянск,"г. Невьянск, ул. Матвеева, д. 6",с 1920 до 1940,Домик,Удовлетворительное
661710983910005,"Жилой дом по ""образцовым"" фасадам",Невьянск,"г. Невьянск, ул. Комсомольская, д. 23, д. 25",с 1850 до 1880,Домик,Удовлетворительное
661710983920005,Особняк,Невьянск,"г. Невьянск, ул. Кирова, д. 21",с 1880 до 1900,Домик,Хорошее
661710983930005,Жилой дом,Невьянск,"г. Невьянск, ул. Энгельса, д. 18",с 1900 до 1920,Изба,Удовлетворительное
661710983940005,Жилой дом,Невьянск,"г. Невьянск, ул. Урицкого, д. 1",с 1880 до 1900,Изба,Хорошее
661710983950015,Флигель,Невьянск,"г. Невьянск, ул. Крылова, д. 1",с 1850 до 1880,Домик,Ансамбль
661710983950025,Хозпостройки,Невьянск,"г. Невьянск, ул. Крылова, д. 1",с 1850 до 1880,Домик,Не доступен
661710983950035,Жилой дом,Невьянск,"г. Невьянск, ул. Крылова, д. 1",с 1850 до 1880,Домик,Удовлетворительное
661710983960005,Жилой дом,Невьянск,"г. Невьянск, ул. Кирова, д. 39",с 1880 до 1900,Изба,Удовлетворительное
661710983970005,"Здание, в котором в годы Великой Отечественной войны размещался госпиталь",Невьянск,"г. Невьянск, ул. Красноармейская, д. 13",с 1940 до 1960,Домик,Удовлетворительное
661710986280015,Дом управляющего,Верхотурье,"г. Верхотурье, ул. Ленина, д. 13",с 1900 до 1920,Дворец,Ансамбль
661710986280025,Вспомогательный корпус,Верхотурье,"г. Верхотурье, ул. Ленина, д. 13",с 1900 до 1920,Домик,Плохое
661710986280035,Одноэтажный корпус,Верхотурье,"г. Верхотурье, ул. Ленина, д. 13",с 1900 до 1920,Домик,Плохое
661710986290005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Ленина, д. 54",с 1900 до 1920,Домик,Не существует
661710986300005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Ленина, д. 21",с 1900 до 1920,Домик,Плохое
661710986310015,Ворота,Верхотурье,"г. Верхотурье, ул. Ленина, 29, 31",с 1900 до 1920,Ворота,Не доступен
661710986310025,Деревянный флигель,Утрачен,Утрачен,с 1900 до 1920,Домик,Не доступен
661710986310035,"Жилой дом в ""кирпичном стиле""",Верхотурье,"г. Верхотурье, ул. Ленина, д. 31",с 1900 до 1920,Домик,Плохое
661710986320005,Завод турбомоторный: проходная с административными корпусами,Екатеринбург,"г. Екатеринбург, ул. Фронтовых бригад, д. 18",с 1940 до 1960,Завод,Удовлетворительное
661710986330005,Завод Нижнетуринский железоделательный: заводоуправление,Нижняя Тура,"г. Нижняя Тура, ул. Советская",с 1800 до 1850,Завод,Не доступен
661710986340005,"Здание бывшей конторы Верхнесалдинского завода, где в 1897-1901 гг. работал ученый-металлург Грум-Гржимайло",Верхняя Салда,"г. Верхняя Салда, ул. Ленина, д. 64",с 1880 до 1900,Завод,Хорошее
661710986350006,Рагозинская часовня (деревянная),Сысертский городской округ,"Сысертский городской округ, территория ""Турбаза ""Солнечный камень"", здание 27",с 1800 до 1850,Церковь,Не доступен
661710986360005,Обелиск на месте расстрела жертв колчаковщины,Ирбит,г. Ирбит,период не определен,Монумент,Хорошее
661710986370006,Бюст П.П. Бажова,Екатеринбург,"г. Екатеринбург, плотина городского пруда",с 1940 до 1960,Монумент,Хорошее
661710986380006,Здание конторы Нижне-Исетского завода,Екатеринбург,"г. Екатеринбург, ул. Косарева, 1-а",с 1800 до 1850,Завод,Удовлетворительное
661710986400005,"Здание бывшей гостиницы ""Казань"" в 1894-1917 гг. центр мебельного производства М.Ф. Просвирина в г. Екатеринбурге",Екатеринбург,"г. Екатеринбург, ул. Хохрякова, д. 3",с 1900 до 1920,Домик,Хорошее
661710986410005,Памятник Ленину В.И.,Екатеринбург,"г. Екатеринбург, пл. 1905 года",с 1940 до 1960,Монумент,Удовлетворительное
661710986420005,Аптека,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 16",период не определен,Домик,Удовлетворительное
661710986430005,Дом врача С.С. Асса,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 8",с 1900 до 1920,Дворец,Хорошее
661710986440005,Дом П.Е. Загайнова,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 5",с 1850 до 1880,Домик,Хорошее
661710986450005,Дом жилой В.И. Иванова,Екатеринбург,"г. Екатеринбург, ул. Пролетарская, д. 10",с 1900 до 1920,Изба,Хорошее
661710986460005,Дом О-Р.Ф. Шмидена,Екатеринбург,"г. Екатеринбург, ул. Красноармейская, д. 37-в",с 1800 до 1850,Домик,Руины
661710986470015,Одноэтажный деревянный флигель,Екатеринбург,"г. Екатеринбург, ул. Красноармейская, д. 37-б",с 1850 до 1880,Домик,Не существует
661710986470025,Каменная ограда и ворота,Екатеринбург,"г. Екатеринбург, ул. Красноармейская, д. 37-б",с 1850 до 1880,Ворота,Хорошее
661710986470035,Двухэтажный каменный дом,Екатеринбург,"Свердловская область. г. Екатеринбург, ул. Красноармейская, д. 37-б",с 1850 до 1880,Домик,Хорошее
661710986480005,"Дом, в котором с 1910 г. жил в летнее время и работал художник Л.В. Туржанский",Екатеринбург,"г. Екатеринбург, пос. Кольцово, пер. Родниковый, д. 2",с 1920 до 1940,Изба,Хорошее
661710986490005,Дом Волкова А.А.,Екатеринбург,"г. Екатеринбург, ул. Луначарского, д. 210/ул. Куйбышева, д. 99",с 1880 до 1900,Домик,Удовлетворительное
661710986500006,Мост через реку Исеть,Екатеринбург,"г. Екатеринбург, ул. Декабристов",с 1800 до 1850,Мост,Хорошее
661710986510005,Клуб спортивно-технический,Екатеринбург,"г. Екатеринбург, ул. Грибоедова, д. 9",с 1900 до 1920,Домик,Хорошее
661710986520015,Дом,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 3",с 1940 до 1960,Домик,Хорошее
661710986520025,Ограда кирпичная,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 3",с 1940 до 1960,Ворота,Плохое
661710986530006,"Дом, в котором в 1905 г. находилась нелегальная школа партийных пропагандистов, организованная Свердловым Яковым Михайловичем.В доме – мемориальный музей Я.М. Свердлова",Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 26",с 1900 до 1920,Дворец,Хорошее
661710986540005,Бюст Ф.М. Решетникова,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 8",с 1920 до 1940,Монумент,Хорошее
661710986550005,Бюст Д.Н. Мамина-Сибиряка,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 8",с 1920 до 1940,Монумент,Хорошее
661710986560005,Бюст В.Г. Белинского,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 8",с 1920 до 1940,Монумент,Хорошее
661710986570005,Первая городская публичная библиотека им В.Г. Белинского,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 8",с 1900 до 1920,Домик,Хорошее
661710986580005,Здание общественное,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 8-б",с 1900 до 1920,Домик,Удовлетворительное
661710986590015,Жилой флигель,Екатеринбург,"Свердловская область. г. Екатеринбург, ул. Карла Либкнехта, д. 2",с 1900 до 1920,Домик,Хорошее
661710986590025,Двухэтажный полукаменный лечебный корпус,Екатеринбург,"Свердловская область. г. Екатеринбург, ул. Карла Либкнехта, д. 2",с 1900 до 1920,Домик,Хорошее
661710995110005,Дом купца И.И. Афанасьева,Екатеринбург,"г. Екатеринбург, ул. Маршала Жукова, д. 3",с 1880 до 1900,Домик,Хорошее
661710995120005,Вокзал железнодорожный,Каменск-Уральский,"г. Каменск-Уральский, ул. Привокзальная",с 1940 до 1960,Дворец,Хорошее
661710995130005,"Здание, в котором в годы Великой Отечественной войны размещался госпиталь",Невьянск,"г. Невьянск, ул. Самойлова, д. 4",с 1940 до 1960,Домик,Удовлетворительное
661710995140015,Корпус лечебный,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 32",с 1900 до 1920,Домик,Удовлетворительное
661710995140025,Здание служб,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 32",с 1900 до 1920,Домик,Удовлетворительное
661710995140035,Ограда кирпичная,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 32",с 1900 до 1920,Ворота,Удовлетворительное
661710995140045,Ворота,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 32",с 1900 до 1920,Ворота,Хорошее
661710995140055,Дом врачей,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 32",с 1900 до 1920,Домик,Удовлетворительное
661710995150005,Дом обороны,Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 31д / ул. Воеводина, д. 6",с 1920 до 1940,Домик,Удовлетворительное
661710995160015,Флигель,Екатеринбург,"г. Екатеринбург, ул. Верх-Исетский бульвар, д. 15",с 1800 до 1850,Домик,Хорошее
661710995160025,Павильон восточный,Екатеринбург,"г. Екатеринбург, ул. Верх-Исетский бульвар, д. 9",с 1800 до 1850,Домик,Хорошее
661710995160035,Главный корпус,Екатеринбург,"г. Екатеринбург, ул. Верх-Исетский бульвар, д. 15",с 1800 до 1850,Домик,Хорошее
661710995160045,Павильон западный,Екатеринбург,"г. Екатеринбург, ул. Верх-Исетский бульвар, д. 15",с 1800 до 1850,Домик,Хорошее
661710995170016,Церковь Иоанна Предтечи,Верхотурье,"г. Верхотурье, ул. Клубная, д. 1",до 1800,Церковь,Плохое
661710995170026,Здание служб,Верхотурье,"г. Верхотурье, ул. Комсомольская, д. 4 ""Б""",с 1850 до 1880,Домик,Руины
661710995170036,Покровская церковь,Верхотурье,"г. Верхотурье, ул. Комсомольская, д. 4 ""А""",до 1800,Церковь,Удовлетворительное
661710995180005,Дом технической учебы Уралмашзавода,Екатеринбург,"г. Екатеринбург, ул. Культуры, д. 2 / пр. Орджоникидзе, д. 1",с 1920 до 1940,Завод,Удовлетворительное
661710995250015,Дом жилой,Екатеринбург,"Свердловской области, г. Екатеринбург, ул. Культуры, д. 8",с 1920 до 1940,Домик,Ансамбль
661710995250025,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Культуры, д. 4",с 1920 до 1940,Домик,Ансамбль
661710995250035,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Культуры, д. 6",с 1920 до 1940,Домик,Ансамбль
661710995260005,"Здание ""лечебницы врачей-специалистов""",Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 1/ул. Малышева, д. 37",с 1900 до 1920,Дворец,Удовлетворительное
661710995270005,Лавка,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 16",с 1850 до 1880,Домик,Удовлетворительное
661710995280005,Лавка,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 31, литер В",с 1850 до 1880,Домик,Хорошее
661710995290006,Плотина на реке Ольховке,Екатеринбург,г. Екатеринбург,с 1850 до 1880,Мост,Хорошее
661710995300005,Дом Сырейщикова Н.Ф.,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 23",с 1900 до 1920,Домик,Не существует
661710995310005,Лавка,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 20",с 1850 до 1880,Домик,Удовлетворительное
661710995320005,"Двухэтажный дом в ""кирпичном стиле""",Екатеринбург,"Свердловской области, г. Екатеринбург, ул. Горького, д. 7",с 1880 до 1900,Домик,Хорошее
661710995330005,"Дом, в котором родился и провел детские года И.Г. Толмачев, герой гражданской войны",Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 10",период не определен,Домик,Удовлетворительное
661710995340005,Здание первой телефонной станции в г. Екатеринбурге,Екатеринбург,"г. Екатеринбург, пер. Театральный, д. 7/9",с 1900 до 1920,Домик,Удовлетворительное
661710995350005,Торговое здание в кирпичном стиле,Екатеринбург,"г. Екатеринбург, пер. Театральный, д. 5/4",с 1900 до 1920,Домик,Хорошее
661710995360005,"Здание павильона механизации Уральского лесотехнического института, где в 1964-1976 гг. работал селекционер-биохимик Л.И. Вигоров",Екатеринбург,"г. Екатеринбург, Сибирский тракт, д. 37",после 1960,Дворец,Удовлетворительное
661710995370005,Церковь,Екатеринбург,"г. Екатеринбург, Сибирский тракт, д. 19",с 1800 до 1850,Церковь,Не доступен
661710995380005,"Здание бывшего лабораторного корпуса Уральского филиала АН СССР, где работали выдающиеся советские ученые",Екатеринбург,"г. Екатеринбург, ул. Софьи Ковалевской, д. 20",с 1940 до 1960,Домик,Не существует
661710995390005,ДК ВИЗа,Екатеринбург,"г. Екатеринбург, пл. Субботников",с 1940 до 1960,Многоэтажка,Хорошее
661710995400005,Дом Л.Н. Казанцевой,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 63",с 1880 до 1900,Дворец,Хорошее
661710995410005,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 8-10, литера А",с 1900 до 1920,Домик,Руины
661710995420005,Кузнечно-прессовый цех Уралмашзавода,Екатеринбург,"г. Екатеринбург, территория Уральского завода тяжелого машиностроения",с 1920 до 1940,Завод,Не доступен
661710995940005,Преображенская церковь,Екатеринбург,"г. Екатеринбург, ул. Походная, д. 2",с 1900 до 1920,Церковь,Хорошее
661710995950005,Особняк в стиле позднего классицизма,Екатеринбург,"г. Екатеринбург, ул. Горького, д. 28",с 1850 до 1880,Домик,Плохое
661710998460015,Гостиница,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 7",с 1880 до 1900,Домик,Удовлетворительное
661710998460025,Флигель,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 7",с 1880 до 1900,Домик,Хорошее
661710998460035,Конюшня,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 7",с 1880 до 1900,Домик,Не существует
661710998460045,Баня,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 7",с 1880 до 1900,Домик,Не существует
661710998480015,Гостиница,Екатеринбург,"г. Екатеринбург, ул. Первомайская, д. 11",с 1850 до 1880,Домик,Ансамбль
661710998480025,Ограда с воротами,Екатеринбург,"г. Екатеринбург, ул. Первомайская, д. 11",с 1850 до 1880,Ворота,Ансамбль
661710998490005,Дом Кругляшовых,Екатеринбург,"г. Екатеринбург, ул. Энгельса, д. 6",с 1900 до 1920,Домик,Хорошее
661710998500015,Дом с мансардой,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 2/ул. Малышева, д. 39",с 1850 до 1880,Домик,Плохое
661710998500025,Ворота и каменная ограда,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 2/ул. Малышева, д. 39",с 1850 до 1880,Ворота,Удовлетворительное
661710998500035,Флигель,Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 2/ ул. Малышева, д. 39",с 1850 до 1880,Домик,Удовлетворительное
661710998530025,Ограда палисадника,Екатеринбург,"г. Екатеринбург, ул. Мамина-Сибиряка, д. 187",с 1880 до 1900,Ворота,Удовлетворительное
661710998530035,Бывший дом Филитц,Екатеринбург,"г. Екатеринбург, ул. Мамина-Сибиряка, д. 187",с 1880 до 1900,Домик,Удовлетворительное
661710998540015,Ограда палисадника,Екатеринбург,"г. Екатеринбург, ул. Февральской революции, д. 27",период не определен,Ворота,Хорошее
661710998550005,"Гостиница ""Центральная""",Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 74",с 1920 до 1940,Многоэтажка,Удовлетворительное
661710998560005,Никольская старообрядческая церковь,Екатеринбург,"г. Екатеринбург, ул. Тверитина, д. 54/77",с 1800 до 1850,Церковь,Не существует
661711004710015,Лабаз ,Ирбит,"г. Ирбит, ул. Советская, д. 62",период не определен,Домик,Хорошее
661711004710025,Лабаз,Ирбит,"г. Ирбит, ул. Советская, д. 62",период не определен,Домик,Удовлетворительное
661711004710035,Одноэтажное здание,Ирбит,"г. Ирбит, ул. Советская, д. 62",период не определен,Домик,Удовлетворительное
661711004710045,Одноэтажное здание,Ирбит,"г. Ирбит, ул. Советская, д. 62",период не определен,Домик,Хорошее
661711004710055,Одноэтажное здание,Ирбит,"г. Ирбит, ул. Советская, д. 62",период не определен,Домик,Хорошее
661711004710065,Здание мельницы,Ирбит,"г. Ирбит, ул. Советская, д. 62",период не определен,Завод,Руины
661711004720015,Жилой дом,Невьянск,"г. Невьянск, ул. Энгельса, д. 42",с 1900 до 1920,Домик,Удовлетворительное
661711004720025,Жилой дом,Невьянск,"г. Невьянск, ул. Энгельса, д. 40",с 1900 до 1920,Домик,Удовлетворительное
661711004730006,Наклонная башня Демидовых,Невьянск,г. Невьянск,до 1800,Башня,Удовлетворительное
661711004740015,Жилой дом,Невьянск,"г. Невьянск, ул. Кирова, д. 18",с 1880 до 1900,Домик,Плохое
661711004740025,Доходный дом,Невьянск,"г. Невьянск, ул. Кирова, д. 16",с 1880 до 1900,Домик,Руины
661711004740035,Лавка,Невьянск,"г. Невьянск, ул. Кирова, д. 18",с 1880 до 1900,Домик,Удовлетворительное
661711004750006,Дом промышленности,Екатеринбург,"г. Екатеринбург, ул. Мамина-Сибиряка, д. 145",с 1920 до 1940,Многоэтажка,Удовлетворительное
661711004760015,Корпус А (4 секции),Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 5",с 1920 до 1940,Многоэтажка,Хорошее
661711004760025,Корпус Б (3 секции),Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 5",с 1920 до 1940,Многоэтажка,Удовлетворительное
