Номер,Название,Город,Адрес,Период,Иконка,Состояние
661410162400005,Церковь Святого Прокопия Устюжского,Верхотурский район,"Верхотурский район, с. Прокопьевская Салда, ул. Сенянского, 40 ""В""",до 1800,Церковь,Не доступен
661410162410005,Гимназия женская,Верхотурье,"г. Верхотурье, ул. Советская, д. 10",с 1900 до 1920,Дворец,Хорошее
661410163400005,Церковь Рождества Христова,Верхотурский район,"Верхотурский район, село Дерябино, ул. Советская, 6 ""А""",до 1800,Церковь,Не доступен
661410163420005,Церковь Спасская,Верхотурский район,"Верхотурский район, с. Красногорское, ул. Малышева, 5",с 1800 до 1850,Церковь,Плохое
661410163500005,Часовня Спасская,Верхотурский район,"Верхотурский район, село Красногорское, ул. Малышева, д. 5 ""Б""",с 1900 до 1920,Церковь,Удовлетворительное
661410164250005,Изба клетская бабы Кати,муниципальное образование Алапаевское,"муниципальное образование Алапаевское, с. Коптелово, пер. Пушкина, 6б",с 1800 до 1850,Изба,Хорошее
661410180430015,Изба из д. Таборы,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",с 1800 до 1850,Изба,Хорошее
661410180430025,Часовня Савватея и Зосимы,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",с 1800 до 1850,Церковь,Хорошее
661410180430035,Башня сторожевая,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",с 1900 до 1920,Башня,Хорошее
661410180430045,Пожарное депо,Нижняя Синячиха,"Алапаевский р-он, с. Нижняя Синячиха",с 1880 до 1900,Амбар,Хорошее
661410180430055,Часовня Александра Невского,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",с 1900 до 1920,Церковь,Хорошее
661410180430065,Часовня Ильи Пророка,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",до 1800,Церковь,Хорошее
661410180430075,Колодец с. Санкино,Нижняя Синячиха,"Алапаевский район, с. Нижняя Синячиха",с 1900 до 1920,Амбар,Хорошее
661410180430085,Изба из д. Вогулка,Нижняя Синячиха,"Алапаевский район, с. Нижняя Синячиха",с 1850 до 1880,Изба,Хорошее
661410180430095,Часовня Вознесения,Нижняя Синячиха,"Алапаевский район, с. Нижняя Синячиха",с 1850 до 1880,Церковь,Хорошее
661410180430105,Мельница-шатровка из с. Мытищинское,Нижняя Синячиха,"Алапаевский район, с. Нижняя Синячиха",с 1900 до 1920,Завод,Хорошее
661410180430115,Дом из с. Комельское,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",с 1880 до 1900,Изба,Хорошее
661410180430125,Дом жилой,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",с 1800 до 1850,Изба,Удовлетворительное
661410180430135,Амбар из д. Кулича,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",с 1850 до 1880,Амбар,Хорошее
661410736080005,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Физкультурников, д. 30",с 1920 до 1940,Домик,Хорошее
661410747730005,Деревянный дом с тремя башенками,Утрачен,Утрачен,с 1880 до 1900,Домик,Не доступен
661410817730025,Особняк,Алапаевск,"г. Алапаевск, ул. Красной Армии, д. 4",с 1900 до 1920,Домик,Удовлетворительное
661410817730035,Особняк,Утрачен,Утрачен,с 1900 до 1920,Домик,Не доступен
661420180430005,Музей народного деревянного зодчества под открытым небом,Нижняя Синячиха,"Алапаевское муниципальное образование, с. Нижняя Синячиха",после 1960,Ансамбль,Ансамбль
661430153270005,Место обнаружения останков членов Царской семьи Николая II на Старой Коптяковской дороге,Екатеринбург,"город Екатеринбург, Железнодорожный район, кварталы 21, 22 Лесопаркового участкового лесничества, Железнодорожного лесного парка",после 1960,Монумент,Хорошее
661510180430145,Амбар из д. Попова,Нижняя Синячиха,"Алапаевский район, село Нижняя Синячиха",с 1850 до 1880,Амбар,Хорошее
661510180430155,Амбар из д. Кировское,Нижняя Синячиха,"Алапаевский район, с. Нижняя Синячиха",с 1880 до 1900,Амбар,Хорошее
661510197940005,Успенская церковь,Березовский,"г. Березовский, пер. Клубный, д. 1",с 1850 до 1880,Церковь,Удовлетворительное
661510206680005,Дом А.А.Зотова,Екатеринбург,"г. Екатеринбург, ул. Карла Либкнехта, д. 45",с 1800 до 1850,Домик,Хорошее
661510212040005,Банк Русско-Азиатский,Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 32/ул. Вайнера, д. 22-24",с 1920 до 1940,Многоэтажка,Удовлетворительное
661510219340005,Церковь Рождества,Режевской район,"Режевской район, село Липовское, улица Ленина, 31",с 1880 до 1900,Церковь,Плохое
661510264780005,Здание земской школы,Екатеринбург,"г. Екатеринбург, ул. Добролюбова, 19а",с 1900 до 1920,Домик,Хорошее
661510354380005,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 1",с 1920 до 1940,Многоэтажка,Удовлетворительное
661510355340005,"Дом, в котором жил видный революционер Н.Н. Замятин (Батурин)",Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 53",с 1880 до 1900,Домик,Хорошее
661610447520005,Жилой дом,Екатеринбург,"г. Екатеринбург, ул. Синяева, д. 58",с 1900 до 1920,Изба,Хорошее
661610668520015,Здание лаборатории,Екатеринбург,"г. Екатеринбург, набережная Олимпийская, стр. 11",с 1900 до 1920,Домик,Хорошее
661610668520025,Четырехэтажное каменное здание мельницы,Екатеринбург,"г. Екатеринбург, набережная Олимпийская, д. 7",с 1880 до 1900,Завод,Хорошее
661610669930005,Могила краеведа В.П. Бирюкова,Екатеринбург,"г. Екатеринбург, Нижнеисетское кладбище",после 1960,Монумент,Не доступен
661610702880015,Торговая лавка в кирпичном стиле,Екатеринбург,"г. Екатеринбург, ул. Радищева, д. 6",с 1850 до 1880,Домик,Удовлетворительное
661610702880025,Ворота,Екатеринбург,"г. Екатеринбург, ул. Радищева, д. 6-8",с 1850 до 1880,Ворота,Удовлетворительное
661610702890005,Дом М.М. Крылова,Екатеринбург,"г. Екатеринбург, ул. Тургенева, д. 18",с 1900 до 1920,Домик,Хорошее
